gameid,date,league,patch,blue,red,blue_win,best_of
LPL/2026 Season/Split 1_Week 1_4_1,2026-01-15 09:26:00,LPL,26.01,Anyone's Legend,Invictus Gaming,1,1
LCK/2026 Season/Cup_Week 1_4_1,2026-01-15 10:15:00,LCK,26.01,Nongshim RedForce,BNK FEARX,0,1
LPL/2026 Season/Split 1_Week 1_4_2,2026-01-15 10:16:00,LPL,26.01,Anyone's Legend,Invictus Gaming,1,1
LCK/2026 Season/Cup_Week 1_4_2,2026-01-15 11:14:00,LCK,26.01,BNK FEARX,Nongshim RedForce,1,1
LPL/2026 Season/Split 1_Week 1_5_1,2026-01-15 11:30:00,LPL,26.01,Bilibili Gaming,Weibo Gaming,0,1
LPL/2026 Season/Split 1_Week 1_5_2,2026-01-15 12:30:00,LPL,26.01,Weibo Gaming,Bilibili Gaming,0,1
LPL/2026 Season/Split 1_Week 1_5_3,2026-01-15 13:36:00,LPL,26.01,Bilibili Gaming,Weibo Gaming,1,1
LCP/2026 Season/Split 1_Week 1_1_1,2026-01-16 06:23:00,LCP,26.01,Ground Zero Gaming,Team Secret Whales,1,1
LCP/2026 Season/Split 1_Week 1_1_2,2026-01-16 07:18:00,LCP,26.01,Ground Zero Gaming,Team Secret Whales,0,1
LCK/2026 Season/Cup_Week 1_5_1,2026-01-16 08:05:00,LCK,26.01,Dplus Kia,DN SOOPers,1,1
LCP/2026 Season/Split 1_Week 1_1_3,2026-01-16 08:15:00,LCP,26.01,Ground Zero Gaming,Team Secret Whales,0,1
LCK/2026 Season/Cup_Week 1_5_2,2026-01-16 08:53:00,LCK,26.01,Dplus Kia,DN SOOPers,1,1
LPL/2026 Season/Split 1_Week 1_6_1,2026-01-16 09:16:00,LPL,26.01,Oh My God,LNG Esports,0,1
LCP/2026 Season/Split 1_Week 1_2_1,2026-01-16 09:25:00,LCP,26.01,Fukuoka SoftBank HAWKS gaming,Deep Cross Gaming,0,1
LPL/2026 Season/Split 1_Week 1_6_2,2026-01-16 10:08:00,LPL,26.01,LNG Esports,Oh My God,1,1
LCK/2026 Season/Cup_Week 1_6_1,2026-01-16 10:08:00,LCK,26.01,T1,Hanwha Life Esports,0,1
LCP/2026 Season/Split 1_Week 1_2_2,2026-01-16 10:31:00,LCP,26.01,Deep Cross Gaming,Fukuoka SoftBank HAWKS gaming,1,1
LCK/2026 Season/Cup_Week 1_6_2,2026-01-16 11:07:00,LCK,26.01,Hanwha Life Esports,T1,0,1
LPL/2026 Season/Split 1_Week 1_7_1,2026-01-16 11:10:00,LPL,26.01,EDward Gaming,Team WE,0,1
LCK/2026 Season/Cup_Week 1_6_3,2026-01-16 11:56:00,LCK,26.01,T1,Hanwha Life Esports,1,1
LPL/2026 Season/Split 1_Week 1_7_2,2026-01-16 12:15:00,LPL,26.01,Team WE,EDward Gaming,1,1
LCP/2026 Season/Split 1_Week 1_3_1,2026-01-17 06:17:00,LCP,26.01,CTBC Flying Oyster,GAM Esports,0,1
LCP/2026 Season/Split 1_Week 1_3_2,2026-01-17 07:12:00,LCP,26.01,CTBC Flying Oyster,GAM Esports,0,1
LCK/2026 Season/Cup_Week 1_7_1,2026-01-17 08:06:00,LCK,26.01,BNK FEARX,BRION,1,1
LCP/2026 Season/Split 1_Week 1_4_1,2026-01-17 08:21:00,LCP,26.01,DetonatioN FocusMe,MVK Esports,0,1
LCK/2026 Season/Cup_Week 1_7_2,2026-01-17 09:01:00,LCK,26.01,BNK FEARX,BRION,0,1
LCP/2026 Season/Split 1_Week 1_4_2,2026-01-17 09:10:00,LCP,26.01,DetonatioN FocusMe,MVK Esports,0,1
LPL/2026 Season/Split 1_Week 1_8_1,2026-01-17 09:15:00,LPL,26.01,Anyone's Legend,Bilibili Gaming,1,1
LCK/2026 Season/Cup_Week 1_7_3,2026-01-17 09:47:00,LCK,26.01,BRION,BNK FEARX,0,1
LPL/2026 Season/Split 1_Week 1_8_2,2026-01-17 10:13:00,LPL,26.01,Anyone's Legend,Bilibili Gaming,0,1
LCK/2026 Season/Cup_Week 1_8_1,2026-01-17 11:10:00,LCK,26.01,KT Rolster,Gen.G,0,1
